Index#	VFB id	Name	FB id	Notes
0		Figure 1b		Original Aso Figure 1b
1		MBON-calyx		
2		?		MBON-gamma1pedc&gt;alpha/beta
3		?		MBON-gamma1gamma2
4		MBON-beta'1		
5		MBON-gamm3beta'1		
6		MBON-gamma3		
7		?		
8		MBON-alpha1		
9		MBON-gamma4&gt;gamma1gamm2		
10		MBON-beta1&gt;alpha		
11		MBON-gamm4gamm5		
12		MBON-beta'2mp_bilateral		
13		MBON-beta'2mp		
14		MBON-beta2beta'2a		
15		MBON-gamma5beta'2alpha		
16		MBON-gamma2alpha'1		
17		MBON-alpha'2		
18		MBON-alpha2sc		
19		MBON-alpha2p3p		
20		MBON-alpha'3ap		
21		MBON-alpha'3m		
22		MBON-alpha3		
23		mushroom body alpha lobe slice 3		
24		mushroom body alpha' lobe slice 3		
25		mushroom body alpha lobe slice 2		
26		mushroom body alpha' lobe slice 2		
27		mushroom body alpha' lobe slice 1		
28		pedunculus of adult mushroom body		
29		mushroom body alpha lobe slice 1		
30		mushroom body beta lobe slice 1		
31		mushroom body beta lobe slice 2		
32		mushroom body beta' lobe slice 1		
33		mushroom body beta' lobe slice 2		
34		mushroom body gamma lobe slice 1		
35		mushroom body gamma lobe slice 2		
36		mushroom body gamma lobe slice 4		
37		mushroom body gamma lobe slice 3		
38		mushroom body gamma lobe slice 5		
39		caylix		
40		crepine		
41		superior medial protocerebrum		
42		superior intermediate protocerebrum		
43		superior lateral protocerebrum		
44		lateral horn		
